id,title,description,dcat_ap_id,dcat_ap_title,en_iso_19115_id,en_iso_19115_title,inspire_id,inspire_title
Alter in 10er Jahresgruppen 50 bis 59,Alter in 10er Jahresgruppen 50 bis 59,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Selbstständigenquote,Selbstständigenquote,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gemittelten Lufttemperatur,Gemittelten Lufttemperatur,,ENVI,Environment,climatologyMeteorologyAtmosphere,Climatology / Meteorology / Atmosphere,AC-MF,Atmospheric Conditions and meteorological geographical features
Kinosäle,Kinosäle,,EDUC,"Education, culture and sport",society,Society,PF,Production and industrial facilities
(SDG 1) SGB II-/SGB XII-Quote,(SDG 1) SGB II-/SGB XII-Quote,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Ruhestandswanderer,Ruhestandswanderer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Alter infr 6 bis 9,Alter infr 6 bis 9,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Staatsangehörigkeit Gruppen Sonstige,Staatsangehörigkeit Gruppen Sonstige,,SOCI,Population and society,society,Society,PD,Population distribution — demography
(SDG 16) Liquiditätskredite,(SDG 16) Liquiditätskredite,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
Bodenfläche gesamt qkm,Bodenfläche gesamt qkm,,ENVI,Environment,geoscientificInformation,Geoscientific Information,SO,Soil
Verbraucherinsolvenzverfahren Gläubigerforderungen,Verbraucherinsolvenzverfahren Gläubigerforderungen,,JUST,"Justice, legal system and public safety",society,Society,PD,Population distribution — demography
Typ der Kernfamilie  nach Kindern Vater und Kinder ab 18,Typ der Kernfamilie  nach Kindern Vater und Kinder ab 18,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bildung,Bildung,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Bundestagswahl Zweitstimme Die Humanisten,Bundestagswahl Zweitstimme Die Humanisten,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Anteil Bruttowertschöpfung Sekundärer Sektor,Anteil Bruttowertschöpfung Sekundärer Sektor,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
Sozialleistungen - Leistungsempfänger,Sozialleistungen - Leistungsempfänger,,SOCI,Population and society,society,Society,PD,Population distribution — demography
"Zahl der Staatsangehörigkeiten mehrere, nur ausländische","Zahl der Staatsangehörigkeiten mehrere, nur ausländische",,SOCI,Population and society,society,Society,PD,Population distribution — demography
Wohnungen nach Zahl der Räume 7 und mehr Räume,Wohnungen nach Zahl der Räume 7 und mehr Räume,,SOCI,Population and society,society,Society,BU,Buildings
Baugenehmigungen für Wohnungen in Mehrfamilienhäusern,Baugenehmigungen für Wohnungen in Mehrfamilienhäusern,,SOCI,Population and society,structure,Structure,BU,Buildings
Bundestagswahl Zweitstimme pro Deutschland,Bundestagswahl Zweitstimme pro Deutschland,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Trinkwasserverbrauch,Trinkwasserverbrauch,,ENVI,Environment,inlandWaters,Inland Waters,HY,Hydrography
Fläche der Wohnung 10m2 Intervalle 50 bis 59,Fläche der Wohnung 10m2 Intervalle 50 bis 59,,SOCI,Population and society,society,Society,BU,Buildings
Familienstand eingetragene:r Lebenspartner verstorben,Familienstand eingetragene:r Lebenspartner verstorben,,SOCI,Population and society,society,Society,PD,Population distribution — demography
ÖV-Haltestellen,ÖV-Haltestellen,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Umsatzsteuer,Umsatzsteuer,,ECON,Economy and finance,economy,Farming,AM,Area management/restriction/regulation zones and reporting units
Weibliche ältere Arbeitslose,Weibliche ältere Arbeitslose,,SOCI,Population and society,society,Society,PD,Population distribution — demography
hochfrequentierte Bushaltestellen,hochfrequentierte Bushaltestellen,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Zuzugsrate,Zuzugsrate,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme ZUKUNFT,Bundestagswahl Erststimme ZUKUNFT,,GOVE,Government and public sector,society,Society,AU,Administrative units
Fläche der Wohnung 10m2 Intervalle 90 bis 99,Fläche der Wohnung 10m2 Intervalle 90 bis 99,,SOCI,Population and society,society,Society,BU,Buildings
Bundestagswahl Zweitstimme GRÜNE/B 90,Bundestagswahl Zweitstimme GRÜNE/B 90,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gewerbesteuer,Gewerbesteuer,,ECON,Economy and finance,economy,Farming,US,Utility and governmental services
"Einwohner 75 Jahre und älter, Frauen","Einwohner 75 Jahre und älter, Frauen",,SOCI,Population and society,society,Society,PD,Population distribution — demography
schule,schule,,EDUC,"Education, culture and sport",society,Society,BU,Buildings
Bedarfsgemeinschaften mit Kindern,Bedarfsgemeinschaften mit Kindern,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach überwiegender Heizungsart Fernheizung,Gebäude nach überwiegender Heizungsart Fernheizung,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Weibliche Langzeitarbeitslose,Weibliche Langzeitarbeitslose,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Sozialleistungen - Transferleistungen,Sozialleistungen - Transferleistungen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach überwiegender Heizungsart Zentralheizung,Gebäude nach überwiegender Heizungsart Zentralheizung,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Bauüberhänge,Bauüberhänge,,REGI,Regions and cities,planningCadastre,Planning / Cadastre,BU,Buildings
Ein- und Zweifamilienhäuser,Ein- und Zweifamilienhäuser,,SOCI,Population and society,society,Society,BU,Buildings
Wirtschaft – Wirtschaftliche Leistung,Wirtschaft – Wirtschaftliche Leistung,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
Berufsbildende Schulen,Berufsbildende Schulen,,EDUC,"Education, culture and sport",society,Society,US,Utility and governmental services
Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner,,SOCI,Population and society,society,Society,BU,Buildings
Direkte Projektförderung (kurfristig),Direkte Projektförderung (kurfristig),,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
Mittlere Unternehmen,Mittlere Unternehmen,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
Erwerbsquote Männer,Erwerbsquote Männer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Weibliche jüngere Arbeitslose,Weibliche jüngere Arbeitslose,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Ambulante Pflege,Ambulante Pflege,,HEAL,Health,health,Health,HH,Human health and safety
Gebäudetyp Größe Einfamilienhaus Reihenhaus,Gebäudetyp Größe Einfamilienhaus Reihenhaus,,SOCI,Population and society,society,Society,BU,Buildings
Schüler an allgemeinbildenden Schulen mit Förderschwerpunkt je 1.000 Einwohner,Schüler an allgemeinbildenden Schulen mit Förderschwerpunkt je 1.000 Einwohner,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Heizungsart Heizungsart insgesamt,Heizungsart Heizungsart insgesamt,,ENER,Energy,utilitiesCommunication,Utilities / Communication,ER,Energy resources
Bundestagswahl Zweitstimme CDU,Bundestagswahl Zweitstimme CDU,,GOVE,Government and public sector,society,Society,US,Utility and governmental services
Sonstige Arbeitsmarktverwaltungseinrichtungen,Sonstige Arbeitsmarktverwaltungseinrichtungen,,SOCI,Population and society,society,Society,US,Utility and governmental services
Wohnung Gebäudetyp Größe Anderer Gebäudetyp,Wohnung Gebäudetyp Größe Anderer Gebäudetyp,,SOCI,Population and society,structure,Structure,BU,Buildings
Öffentliche Finanzen,Öffentliche Finanzen,,ECON,Economy and finance,economy,Farming,US,Utility and governmental services
Bundestagswahl Erststimme CDU,Bundestagswahl Erststimme CDU,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Ältere erwerbsfähige Leistungsberechtigte,Ältere erwerbsfähige Leistungsberechtigte,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Steuerkraft,Steuerkraft,,ECON,Economy and finance,economy,Farming,AM,Area management/restriction/regulation zones and reporting units
Auslandsumsatz im Bergbau u. Verarb. Gewerbe,Auslandsumsatz im Bergbau u. Verarb. Gewerbe,,ECON,Economy and finance,economy,Farming,SU,Statistical units
Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Typ private Haushalte Familie Alleinerziehende,Typ private Haushalte Familie Alleinerziehende,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Einwohner von 6 bis unter 18 Jahren,Einwohner von 6 bis unter 18 Jahren,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Einpersonenhaushalte,Einpersonenhaushalte,,SOCI,Population and society,society,Society,PD,Population distribution — demography
"Einwohner von 75 bis unter 85 Jahren, Frauen","Einwohner von 75 bis unter 85 Jahren, Frauen",,SOCI,Population and society,society,Society,PD,Population distribution — demography
Pendler mit Arbeitsweg 50 km und mehr,Pendler mit Arbeitsweg 50 km und mehr,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme für mehr Bürgerbeteiligung,Bundestagswahl Erststimme für mehr Bürgerbeteiligung,,GOVE,Government and public sector,society,Society,AU,Administrative units
Anteil männliche jüngere Arbeitslose,Anteil männliche jüngere Arbeitslose,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Einwohner von 3 bis unter 6 Jahren,Einwohner von 3 bis unter 6 Jahren,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Schüler an allgemeinbildenden Schulen mit Förderschwerpunkt,Schüler an allgemeinbildenden Schulen mit Förderschwerpunkt,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Wohnungen nach Zahl der Räume 5 Räume,Wohnungen nach Zahl der Räume 5 Räume,,SOCI,Population and society,society,Society,SU,Statistical units
Staatsangehörigkeit Gruppen Sonstige Welt,Staatsangehörigkeit Gruppen Sonstige Welt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Einbürgerungen je Einwohner,Einbürgerungen je Einwohner,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Ungültige Stimmen,Bundestagswahl Ungültige Stimmen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
"Einwohner 65 Jahre und älter, Frauen","Einwohner 65 Jahre und älter, Frauen",,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme ÖDP,Bundestagswahl Erststimme ÖDP,,GOVE,Government and public sector,society,Society,AU,Administrative units
Bundestagswahl Erststimme Tierschutzpartei,Bundestagswahl Erststimme Tierschutzpartei,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäudetyp Größe Zweifamilienhaus Doppelhaushälfte,Gebäudetyp Größe Zweifamilienhaus Doppelhaushälfte,,SOCI,Population and society,society,Society,BU,Buildings
Ärzte,Ärzte,,HEAL,Health,health,Health,HH,Human health and safety
Krankenhäuser der Umfassenden Notfallversorgung,Krankenhäuser der Umfassenden Notfallversorgung,,HEAL,Health,health,Health,HH,Human health and safety
Bundestagswahl Erststimme EW 1,Bundestagswahl Erststimme EW 1,,SOCI,Population and society,society,Society,PD,Population distribution — demography
hochfrequentierte Bahnhaltestellen,hochfrequentierte Bahnhaltestellen,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Bundestagswahl Zweitstimme Volt,Bundestagswahl Zweitstimme Volt,,GOVE,Government and public sector,society,Society,AU,Administrative units
Außenwanderungssaldo Männer,Außenwanderungssaldo Männer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Fläche der Wohnung 10m2 Intervalle 140 bis 149,Fläche der Wohnung 10m2 Intervalle 140 bis 149,,SOCI,Population and society,society,Society,BU,Buildings
Fläche der Wohnung 10m2 Intervalle 110 bis 119,Fläche der Wohnung 10m2 Intervalle 110 bis 119,,SOCI,Population and society,society,Society,BU,Buildings
Privateinkommen und private Schulden,Privateinkommen und private Schulden,,ECON,Economy and finance,economy,Farming,PD,Population distribution — demography
Wertstoffe,Wertstoffe,,ENVI,Environment,environment,Environment,US,Utility and governmental services
Schüler an allgemeinbildenden Schulen,Schüler an allgemeinbildenden Schulen,,EDUC,"Education, culture and sport",society,Society,SU,Statistical units
Bundestagswahl Erststimme EW 5,Bundestagswahl Erststimme EW 5,,GOVE,Government and public sector,society,Society,AU,Administrative units
Verdienstabstand zwischen Frauen und Männern,Verdienstabstand zwischen Frauen und Männern,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Männliche Schulabgänger mit allgemeiner Hochschulreife,Männliche Schulabgänger mit allgemeiner Hochschulreife,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Erreichbarkeit von Oberzentren,Erreichbarkeit von Oberzentren,,REGI,Regions and cities,transportation,Transportation,TN,Transport networks
Weibliche Bildungswanderer,Weibliche Bildungswanderer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
(SDG 6) Abwasserbehandlung,(SDG 6) Abwasserbehandlung,,ENVI,Environment,environment,Environment,US,Utility and governmental services
Nahversorgung ÖV Haltestelle,Nahversorgung ÖV Haltestelle,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Fertilitätsrate,Fertilitätsrate,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Typ private Haushalte Familie Einpersonenhaushalt,Typ private Haushalte Familie Einpersonenhaushalt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Typ der Kernfamilie  nach Kindern Ehepaar und Kinder ab 18,Typ der Kernfamilie  nach Kindern Ehepaar und Kinder ab 18,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Schüler an allgemeinbildenden Schulen je 1.000 Einwohner,Schüler an allgemeinbildenden Schulen je 1.000 Einwohner,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
(SDG 2) Stickstoffüberschuss der Landwirtschaft,(SDG 2) Stickstoffüberschuss der Landwirtschaft,,AGRI,"Agriculture, fisheries, forestry and food",farming,Farming,AF,Agricultural and aquaculture facilities
Arbeitslosenquote Ältere,Arbeitslosenquote Ältere,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Eistage,Eistage,,ENVI,Environment,climatologyMeteorologyAtmosphere,Climatology / Meteorology / Atmosphere,AC-MF,Atmospheric Conditions and meteorological geographical features
(SDG 3) Wohnungsnahe Grundversorgung - Hausarzt,(SDG 3) Wohnungsnahe Grundversorgung - Hausarzt,,HEAL,Health,health,Health,HH,Human health and safety
Geburten älterer Mütter (>=40 Jahre),Geburten älterer Mütter (>=40 Jahre),,SOCI,Population and society,society,Society,PD,Population distribution — demography
ALG I-Leistungen Männer,ALG I-Leistungen Männer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Anteil Bruttowertschöpfung Tertiärer Sektor,Anteil Bruttowertschöpfung Tertiärer Sektor,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
Erreichbarkeit von Flughäfen,Erreichbarkeit von Flughäfen,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Bundestagswahl Erststimme Einzelwahlvorschlag 2,Bundestagswahl Erststimme Einzelwahlvorschlag 2,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Prognostizierte Bevölkerungsentwicklung (2022-2030),Prognostizierte Bevölkerungsentwicklung (2022-2030),,SOCI,Population and society,society,Society,PD,Population distribution — demography
Staatsangehörigkeit Deutschland,Staatsangehörigkeit Deutschland,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gerichte,Gerichte,,JUST,"Justice, legal system and public safety",society,Society,SU,Statistical units
U-/Strassenbahnhaltestellen,U-/Strassenbahnhaltestellen,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Bundestagswahl Erststimme EW 7,Bundestagswahl Erststimme EW 7,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Beschäftigte in Kreativbranchen,Beschäftigte in Kreativbranchen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Fertiggestellte Wohnungen je Wohnung im Bestand,Fertiggestellte Wohnungen je Wohnung im Bestand,,SOCI,Population and society,society,Society,BU,Buildings
Seniorenstatus eines privaten Haushalts Haushalt nur Senior:innen,Seniorenstatus eines privaten Haushalts Haushalt nur Senior:innen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Alter infr 19 bis 24,Alter infr 19 bis 24,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Anteil Minijobs (Männer),Anteil Minijobs (Männer),,SOCI,Population and society,society,Society,PD,Population distribution — demography
Weibliche Berufseinstiegswanderer,Weibliche Berufseinstiegswanderer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bevölkerung - Natürliche Bevölkerungsbewegungen,Bevölkerung - Natürliche Bevölkerungsbewegungen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Studierende an FH,Studierende an FH,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Bundestagswahl Zweitstimme DVU,Bundestagswahl Zweitstimme DVU,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Dienstleistungsquote,Dienstleistungsquote,,ECON,Economy and finance,economy,Farming,PF,Production and industrial facilities
U-/Straßenbahn-Abfahrten,U-/Straßenbahn-Abfahrten,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Verunglückte im Straßenverkehr,Verunglückte im Straßenverkehr,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Verkehr und Erreichbarkeit - Straßenverkehr,Verkehr und Erreichbarkeit - Straßenverkehr,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Bundestagswahl Zweitstimme MLPD,Bundestagswahl Zweitstimme MLPD,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Öffentliche Bäder,Öffentliche Bäder,,EDUC,"Education, culture and sport",society,Society,US,Utility and governmental services
Bruttowertschöpfung je Erwerbstätigen Primärer Sektor,Bruttowertschöpfung je Erwerbstätigen Primärer Sektor,,AGRI,"Agriculture, fisheries, forestry and food",farming,Farming,AF,Agricultural and aquaculture facilities
Baujahr 1919 bis 1949,Baujahr 1919 bis 1949,,SOCI,Population and society,society,Society,SU,Statistical units
Bundestagswahl Erststimme Internationalistisches Bündnis 2,Bundestagswahl Erststimme Internationalistisches Bündnis 2,,GOVE,Government and public sector,society,Society,AM,Area management/restriction/regulation zones and reporting units
Medianeinkommen Frauen,Medianeinkommen Frauen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
(SDG 11) Wohnungsnahe Grundversorgung - Supermarkt,(SDG 11) Wohnungsnahe Grundversorgung - Supermarkt,,SOCI,Population and society,society,Society,BU,Buildings
Bundestagswahl Erststimme Spitzenkandidat der Bürger,Bundestagswahl Erststimme Spitzenkandidat der Bürger,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Zuweisungen für Investitionsfördermaßnahmen,Zuweisungen für Investitionsfördermaßnahmen,,ECON,Economy and finance,economy,Farming,US,Utility and governmental services
Größe Kernfamilie bis und mehr Personen 5 Personen,Größe Kernfamilie bis und mehr Personen 5 Personen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Durchschnittsalter der Bevölkerung,Durchschnittsalter der Bevölkerung,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Fläche der Wohnung 10m2 Intervalle 70 bis 79,Fläche der Wohnung 10m2 Intervalle 70 bis 79,,SOCI,Population and society,society,Society,BU,Buildings
Ausländische Schüler je 100 Ausländer 6 bis 18 Jahre,Ausländische Schüler je 100 Ausländer 6 bis 18 Jahre,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Wohnungen nach Zahl der Räume Wohnungen insgesamt,Wohnungen nach Zahl der Räume Wohnungen insgesamt,,REGI,Regions and cities,society,Society,BU,Buildings
Medianeinkommen akademischer Berufsabschluss,Medianeinkommen akademischer Berufsabschluss,,ECON,Economy and finance,economy,Farming,PD,Population distribution — demography
Schulabgänger mit Hauptschulabschluss,Schulabgänger mit Hauptschulabschluss,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Bundestagswahl Zweitstimme NPD,Bundestagswahl Zweitstimme NPD,,SOCI,Population and society,society,Society,PD,Population distribution — demography
(SDG 5) Verhältnis der Beschäftigungsquote von Frauen zu Männern,(SDG 5) Verhältnis der Beschäftigungsquote von Frauen zu Männern,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gesamtwanderungssaldo,Gesamtwanderungssaldo,,SOCI,Population and society,society,Society,PD,Population distribution — demography
5- und mehr Raum-Wohnungen,5- und mehr Raum-Wohnungen,,SOCI,Population and society,society,Society,BU,Buildings
Quote jüngere Beschäftigte,Quote jüngere Beschäftigte,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Erwerbstätige Primärer Sektor,Erwerbstätige Primärer Sektor,,AGRI,"Agriculture, fisheries, forestry and food",farming,Farming,AF,Agricultural and aquaculture facilities
Männliche Auszubildende,Männliche Auszubildende,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Beschäftigtenquote Ausländer,Beschäftigtenquote Ausländer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Stimmenanteile Sonstige Parteien,Stimmenanteile Sonstige Parteien,,GOVE,Government and public sector,society,Society,SU,Statistical units
Bundestagswahl Erststimme EW 3,Bundestagswahl Erststimme EW 3,,SOCI,Population and society,society,Society,SU,Statistical units
Gebäude nach überwiegender Heizungsart Etagenheizung,Gebäude nach überwiegender Heizungsart Etagenheizung,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Naturnähere Fläche,Naturnähere Fläche,,ENVI,Environment,environment,Environment,HB,Habitats and biotopes
Beschäftigung und Erwerbstätigkeit – Struktur,Beschäftigung und Erwerbstätigkeit – Struktur,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Familienstand ledig,Familienstand ledig,,SOCI,Population and society,society,Society,PD,Population distribution — demography
(SDG 3) Personal in Pflegediensten,(SDG 3) Personal in Pflegediensten,,HEAL,Health,health,Health,HH,Human health and safety
Fläche der Wohnung 10m2 Intervalle 150 bis 159,Fläche der Wohnung 10m2 Intervalle 150 bis 159,,SOCI,Population and society,society,Society,BU,Buildings
Verkehr und Erreichbarkeit,Verkehr und Erreichbarkeit,,TRAN,Transport,transportation,Transportation,TN,Transport networks
Elterngeldbezieher (Mütter),Elterngeldbezieher (Mütter),,SOCI,Population and society,society,Society,PD,Population distribution — demography
Grundschulen,Grundschulen,,EDUC,"Education, culture and sport",society,Society,US,Utility and governmental services
"GRW, Bereich Förderung wirtschaftsnaher Infrastruktur (kurzfristig)","GRW, Bereich Förderung wirtschaftsnaher Infrastruktur (kurzfristig)",,ECON,Economy and finance,economy,Farming,AM,Area management/restriction/regulation zones and reporting units
Arbeitslose,Arbeitslose,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Freifläche,Freifläche,,REGI,Regions and cities,environment,Environment,LU,Land use
Schüler an berufsbildenden Schulen,Schüler an berufsbildenden Schulen,,EDUC,"Education, culture and sport",society,Society,SU,Statistical units
Bus-Abfahrten,Bus-Abfahrten,,TRAN,Transport,transportation,Transportation,TN,Transport networks
(SDG 12) Trinkwasserverbrauch - Private Haushalte,(SDG 12) Trinkwasserverbrauch - Private Haushalte,,ENVI,Environment,environment,Environment,HY,Hydrography
Junge erwerbsfähige Leistungsberechtigte,Junge erwerbsfähige Leistungsberechtigte,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Einwohner unter 6 Jahre,Einwohner unter 6 Jahre,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Kinderarmut,Kinderarmut,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Investitionen im Bergbau und Verarb. Gewerbe,Investitionen im Bergbau und Verarb. Gewerbe,,ECON,Economy and finance,economy,Farming,MR,Mineral resources
Allgemeinbildende Schulen,Allgemeinbildende Schulen,,EDUC,"Education, culture and sport",society,Society,US,Utility and governmental services
Bundestagswahl Zweitstimme Tierschutzpartei,Bundestagswahl Zweitstimme Tierschutzpartei,,GOVE,Government and public sector,society,Society,PD,Population distribution — demography
Beschäftigte in unternehmensbezogenen Dienstleistungen,Beschäftigte in unternehmensbezogenen Dienstleistungen,,SOCI,Population and society,society,Society,PD,Population distribution — demography
SGB II - Quote,SGB II - Quote,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme BGE,Bundestagswahl Erststimme BGE,,GOVE,Government and public sector,society,Society,AU,Administrative units
Stimmenanteile CDU/CSU,Stimmenanteile CDU/CSU,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Erwerbsfähige Leistungsberechtigte,Erwerbsfähige Leistungsberechtigte,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach Energieträger der Heizung Kohle,Gebäude nach Energieträger der Heizung Kohle,,ENER,Energy,structure,Structure,BU,Buildings
Naturnähere Fläche je Einwohner,Naturnähere Fläche je Einwohner,,ENVI,Environment,environment,Environment,LU,Land use
Bundestagswahl Zweitstimme Die Linke,Bundestagswahl Zweitstimme Die Linke,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Wahlberechtigte insgesamt,Bundestagswahl Wahlberechtigte insgesamt,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Beschäftigtenquote Männer,Beschäftigtenquote Männer,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Anteil weibliche ältere Arbeitslose,Anteil weibliche ältere Arbeitslose,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Größe Kernfamilie bis und mehr Personen 6 Personen und mehr,Größe Kernfamilie bis und mehr Personen 6 Personen und mehr,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme UBB,Bundestagswahl Erststimme UBB,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Seniorenheime,Seniorenheime,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Gebäude nach überwiegender Heizungsart Heizungsart insgesamt,Gebäude nach überwiegender Heizungsart Heizungsart insgesamt,,ENER,Energy,utilitiesCommunication,Utilities / Communication,BU,Buildings
Straftaten,Straftaten,,JUST,"Justice, legal system and public safety",society,Society,HH,Human health and safety
Ladepunkte je 100 Elektrofahrzeuge (BEV),Ladepunkte je 100 Elektrofahrzeuge (BEV),,TRAN,Transport,transportation,Transportation,TN,Transport networks
Fläche der Wohnung 10m2 Intervalle 160 bis 169,Fläche der Wohnung 10m2 Intervalle 160 bis 169,,SOCI,Population and society,society,Society,BU,Buildings
Wohnung Gebäudetyp Größe Mehrfamilienhaus 7 bis 12 Wohnungen,Wohnung Gebäudetyp Größe Mehrfamilienhaus 7 bis 12 Wohnungen,,REGI,Regions and cities,society,Society,BU,Buildings
Religion Römisch-katholisch,Religion Römisch-katholisch,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Baujahr 1990 bis 1999,Baujahr 1990 bis 1999,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Wohnung Gebäudetyp Größe Freistehendes Einfamilienhaus,Wohnung Gebäudetyp Größe Freistehendes Einfamilienhaus,,SOCI,Population and society,structure,Structure,BU,Buildings
(SDG 3) Wohnungsnahe Grundversorgung - Apotheke,(SDG 3) Wohnungsnahe Grundversorgung - Apotheke,,HEAL,Health,health,Health,HH,Human health and safety
Männliche Studierende,Männliche Studierende,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
Stickstoffüberschuss,Stickstoffüberschuss,,ENVI,Environment,environment,Environment,AC,Atmospheric conditions
Natürlicher Saldo,Natürlicher Saldo,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Bundestagswahl Erststimme Die Humanisten,Bundestagswahl Erststimme Die Humanisten,,SOCI,Population and society,society,Society,PD,Population distribution — demography
Schüler an Grundschulen,Schüler an Grundschulen,,EDUC,"Education, culture and sport",society,Society,PD,Population distribution — demography
